gtfs_route_id,route_name_display,data_note,route_category,cost_effectiveness_rank,crowding_metric,reliability_metric,span_of_service_metric,frequency_metric,perc_low_income_riders,perc_minority_riders,perc_vulnerable_fare_riders,perc_1_ride_journeys,perc_2_ride_journeys,perc_3_ride_journeys,perc_4more_ride_journeys,average_daily_boardings
448,448,,Commuter,94,0.991,0.364293,Fail,Fail,,,11%,73.30%,12.47%,8.33%,5.90%,133.497416
67,67,,Local,95,0.9642,0.703757,Pass,Fail,,,14%,72.09%,22.49%,4.37%,1.05%,512.9994184
95,95,,Local,96,0.9865,0.588265,Pass,Pass,,,20%,72.33%,18.48%,7.64%,1.55%,1587.879624
47,47,,Local,97,0.8856,0.524724,Pass,Pass,,,18%,74.73%,20.37%,4.43%,0.47%,4341.741475
134,134,,Local,98,0.9678,0.65183,Pass,Pass,,,28%,73.71%,18.25%,6.57%,1.46%,2049.791597
238,238,,Local,99,0.9833,0.456689,Pass,Fail,,,19%,70.32%,19.65%,7.66%,2.38%,2018.267646
456,456,,Local,100,1,0.656221,Fail,Fail,,,27%,92.99%,5.07%,0.85%,1.09%,256.4660777
215,215,,Local,101,0.9977,0.4752,Pass,Pass,,,24%,72.78%,19.89%,5.92%,1.42%,1898.873439
112,112,,Local,102,1,0.417267,Pass,Fail,,,28%,76.12%,16.07%,5.48%,2.33%,1310.931693
74,74,,Local,103,0.9334,0.671189,Pass,Fail,,,19%,71.33%,18.49%,6.93%,3.25%,760.7268613
225,225,,Local,104,0.9218,0.606846,Pass,Pass,,,17%,66.61%,22.61%,8.91%,1.88%,3472.486426
216,216,,Local,105,0.9957,0.675596,Pass,Pass,,,21%,64.83%,26.73%,7.44%,1.00%,1180.659814
99,99,,Local,106,0.9984,0.536326,Pass,Pass,,,16%,60.38%,26.06%,10.97%,2.59%,1570.96072
,201/202,,,107,,,,,,,,,,,,
,34/34E,,,108,,,,,,,,,,,,
137,137,,Local,109,0.9792,0.432828,Pass,Fail,,,21%,69.62%,21.15%,7.54%,1.69%,958.3096102
136,136,,Local,110,0.9512,0.539762,Fail,Fail,,,17%,75.53%,17.93%,5.41%,1.13%,1017.894412
72,72,,Local,111,0.9955,0.757645,Pass,Pass,,,20%,72.79%,19.28%,5.82%,2.12%,893.254776
96,96,,Local,112,0.9435,0.626087,Pass,Pass,,,11%,69.34%,24.06%,5.64%,0.96%,2180.728094
71,71,,Key Bus,113,,0.773266,Pass,Fail,,,12%,96.24%,3.56%,0.18%,0.02%,364.7987368
85,85,,Local,114,0.9542,0.758024,Pass,Fail,,,4%,86.70%,9.98%,2.40%,0.92%,576.8931895
52,52,,Local,115,0.9992,0.455555,Pass,Fail,,,39%,79.66%,16.45%,2.79%,1.09%,523.8204736
426,426,,Local,116,0.9687,0.588141,Pass,Pass,,,13%,80.97%,13.04%,5.19%,0.80%,1951.025021
43,43,,Local,117,1,0.525788,Pass,Pass,,,34%,78.00%,16.55%,4.75%,0.70%,1196.204228
